
Name,Suburb,Address,Price (AUD),Duration,Brunch Days,Start/End Time,Drinks Included,Cuisine,Notes,Website URL,Instagram URL,Google Maps URL,Last Verified Date
The Rook It’s Brunch Time Drag Brunch,Sydney CBD,"Level 7, 56–58 York Street, Sydney NSW 2000",79,2 hours,Saturday,2:00 PM – 4:00 PM,Mimosas (DIY mimosa bar),Modern Australian,Six‑course bite‑sized menu; drag entertainment,https://therook.com.au/oopsie-daisy/,https://www.instagram.com/therooksydney/,https://www.google.com/maps/?q=56+York+St+Sydney+NSW+2000,2025-07-29
The Charles Brasserie Free‑Flowing Lunch,Sydney CBD,"66 King Street, Sydney NSW 2000",135,2 hours,Saturday,From 12:00 PM,"Seasonal cello spritz, wines",French/European,Three‑course shared menu; celebratory lunches with free‑flowing spritz and wine,https://thecharles.sydney/whats-on/free-flowing-lunch/,https://www.instagram.com/thecharlessydney/,https://www.google.com/maps/?q=66+King+St+Sydney+NSW+2000,2025-07-29
Woollahra Hotel Bottomless Brunch,Woollahra,"116 Queen Street, Woollahra NSW 2025",89,2 hours,Saturday & Sunday,12:00 PM – 4:00 PM,"Mimosas, Bellinis, wines, beers",Pub/Modern Australian,Shared banquet with Mediterranean dishes; min. 4 people,https://woollahrahotel.com.au/bottomless-brunch/,https://www.instagram.com/woollahrahotel/,https://www.google.com/maps/?q=116+Queen+St+Woollahra+NSW+2025,2025-07-29
Coogee Wine Room Bottomless Lunch,Coogee,"222 Coogee Bay Road, Coogee NSW 2034",95,2 hours,Saturday & Sunday,Saturday 12:00 PM – 4:00 PM; Sunday 1:00 PM – 4:00 PM,"Wines, beer (cocktail package $120)",Mediterranean,Three‑course share menu plus drinks package; cocktail upgrade optional,https://coogeewineroom.com.au/bottomless-lunch/,https://www.instagram.com/coogeewineroom/,https://www.google.com/maps/?q=222+Coogee+Bay+Rd+Coogee+NSW+2034,2025-07-29
Wild Sage Barangaroo Bottomless Lunch,Barangaroo,"Exchange Place, 3 Sussex Street, Barangaroo NSW 2000",79,90 mins,Daily,12:00 PM – 1:30 PM,"Aperol spritz, Bellini, sparkling wine (margarita upgrade $99)",Modern Australian,Shared menu includes dishes like pumpkin hummus and lobster tacos; upgrade to margaritas,https://wildsage.com.au/bottomless-lunch/,https://www.instagram.com/wildsagebarangaroo/,https://www.google.com/maps/?q=3+Sussex+Street+Barangaroo+NSW+2000,2025-07-29
Giuls Bottomless Brunch Disco,Surry Hills,"515 Crown Street, Surry Hills NSW 2010",79,1.5 hours,Friday – Sunday,12:00 PM – 3:30 PM,"Aperol spritz, Espresso Martinis, house wine, house beer",Italian,"Shared set menu includes focaccia, arancini and two pastas; 10% surcharge on weekends",https://giuls.com.au/bottomless,https://www.instagram.com/giulssurryhills/,https://www.google.com/maps/?q=515+Crown+St+Surry+Hills+NSW+2010,2025-07-29
Oh Boy Bottomless Brunch (Bird & Bear),Royal Botanic Garden,"1C Mrs Macquaries Road, Sydney NSW 2000",78,2 hours,Daily (summer) [estimated],12:00 PM – 3:00 PM,"Mimosas, Blanc de Blanc, rosé",Modern Australian,Three‑course menu on deck; groups of 4–30; pre‑bookings only,https://www.birdandbear.com.au/whats-on/bottomless-brunch-oh-boy,https://www.instagram.com/ohboysydney/,https://www.google.com/maps/?q=Mrs+Macquaries+Road+Sydney+NSW+2000,2025-07-29
Beast&Co Bottomless Brunch,Surry Hills,"425 Bourke Street, Surry Hills NSW 2010",89,2 hours,Saturday & Sunday,11:00 AM – 5:00 PM (last seating 3 PM),"Mimosas, wines, beers, cocktails",European/Modern Australian,Euro‑inspired menu with vegetarian/vegan options; min. 2 guests,https://beastandco.com.au/bottomless,https://www.instagram.com/beastandco/,https://www.google.com/maps/?q=425+Bourke+St+Surry+Hills+NSW+2010,2025-07-29
Arturo’s Bottomless Lunch,Woolloomooloo,"2 Bourke Street, Woolloomooloo NSW 2011",99,2 hours,Saturday,1:00 PM & 3:00 PM sessions,"Club Spritz, Limoncello Spritz, house wines (Bianco, Rosato, Rosso), Wharf Premium Lager",Mediterranean,Mediterranean share menu; waterfront views; bookings essential,https://www.woollybayhotel.com.au/whats-on/arturos/bottomless-brunch,https://www.instagram.com/arturos_woollybay/,https://www.google.com/maps/?q=2+Bourke+St+Woolloomooloo+NSW+2011,2025-07-29
Green Moustache Free‑Flowing Lunch,North Sydney,"Level 10, 100 Miller Street, North Sydney NSW 2060",150,2 hours,Saturday,12:00 PM – 3:00 PM,Wine and cocktails,Modern Australian,Three‑course shared menu; bottomless wines and cocktails; [inferred from promotional page],https://greenmoustache.com.au/bottomless-brunch/,https://www.instagram.com/greenmoustachesydney/,https://www.google.com/maps/?q=100+Miller+St+North+Sydney+NSW+2060,2025-07-29
Poetica Free‑Flowing Lunch,North Sydney,"1 Denison Street, North Sydney NSW 2060",150,2 hours,Saturday,12:00 PM – 3:00 PM,Wines and cocktails,Steakhouse/Modern Australian,Three‑course share menu with bottomless drinks; details from promotional page,https://poetica.sydney/saturday-free-flowing-lunch,https://www.instagram.com/poeticabarandgrill/,https://www.google.com/maps/?q=1+Denison+St+North+Sydney+NSW+2060,2025-07-29
Luke’s Kitchen Margot’s Bottomless,Sydney CBD,"339 Pitt Street, Sydney NSW 2000",99,90 mins,Selected Saturdays,11:30 AM – 2:30 PM,"Rosé, sparkling wine (cocktail upgrade +$35; Taittinger upgrade +$85)",Modern Australian,Five‑course set menu with live entertainment; monthly themed brunch,https://www.lukeskitchen.com.au/whats-on/bottomless-brunch,https://www.instagram.com/lukeskitchensydney/,https://www.google.com/maps/?q=339+Pitt+Street+Sydney+NSW+2000,2025-07-29
Wildfire Bottomless Beverage Brunch (MuMu / Good Luck),Sydney CBD,"52-60 Dixon Street, Haymarket NSW 2000",105,1.5 hours,Saturday & Sunday,12:00 PM – 4:30 PM,"La Jara Prosecco, Riesling, Felix white wine, riot spritz, amber hour, sparkling lychee cocktails, yuzu slushie, Heineken & Kirin beer",Asian fusion (seafood‑focused),Seafood platter and Asian‑inspired dishes; bottomless beverage brunch; 10% surcharge on Sundays,https://merivale.com/venues/mumu/bottomless-beverage-brunch/,https://www.instagram.com/mumusydney/,https://www.google.com/maps/?q=52+Dixon+St+Haymarket+NSW+2000,2025-07-29
Bar Lucia Tapas Brunch,Potts Point,"5 Kellett Street, Potts Point NSW 2011",99,2 hours,Saturday & Sunday,12:00 PM – 3:00 PM,"Spanish wines, sangria, cava",Spanish/Tapas,Tapas menu with free‑flowing drinks; [inferred from promotional information],https://barlucia.com.au/bottomless-brunch/,https://www.instagram.com/barluciapotts/,https://www.google.com/maps/?q=5+Kellett+St+Potts+Point+NSW+2011,2025-07-29
Bar Nina Daily Bottomless,Darlinghurst,"85A Stanley Street, Darlinghurst NSW 2010",59,3 hours,Daily,9:00 AM – 2:00 PM (brunch); 12:00 PM – 7:00 PM (lunch/dinner),"Mimosas, espresso martinis, wines, beers",Italian,Choice of brunch or lunch/dinner package; upgrade to 90‑minute espresso martinis,https://barnina.com.au/bottomless/,https://www.instagram.com/bar.nina/,https://www.google.com/maps/?q=85A+Stanley+St+Darlinghurst+NSW+2010,2025-07-29
Don’t Tell Aunty Bottomless Brunch,Surry Hills,"414 Bourke Street, Surry Hills NSW 2010",79,2 hours,Friday – Sunday,11:30 AM onwards,"Wine, beer (upgrade to margaritas for +$20)",Indian,Modern Indian fare with bottomless drinks; vegan & gluten‑free options,https://donttellaunty.com/bottomless-brunch/,https://www.instagram.com/donttellaunty/,https://www.google.com/maps/?q=414+Bourke+St+Surry+Hills+NSW+2010,2025-07-29
Ruckus Bar Bottomless Bloody Mary Brunch,Darlinghurst,"371 Crown Street, Surry Hills NSW 2010",65,2 hours,Sunday,11:30 AM – 1:30 PM,"Bloody Marys, mimosas, house beer",American/Southern,American‑inspired brunch with bottomless Bloody Marys; [inferred from promotional information],https://ruckusbar.com.au/bottomless-bloody-mary-brunch/,https://www.instagram.com/ruckusbar/,https://www.google.com/maps/?q=371+Crown+St+Surry+Hills+NSW+2010,2025-07-29
Hickson House Gin Brunch,The Rocks,"6 Hickson Road, The Rocks NSW 2000",99,2 hours,Saturday & Sunday,11:00 AM – 4:00 PM,"Gin cocktails, Prosecco, wine",Modern Australian,Gin‑focused bottomless brunch with signature cocktails and shared plates,https://hicksonhouse.com.au/gin-brunch/,https://www.instagram.com/hicksonhouse/,https://www.google.com/maps/?q=6+Hickson+Road+The+Rocks+NSW+2000,2025-07-29
Fratelli Paradiso Bottomless Lunch,Potts Point,"12‑16 Challis Avenue, Potts Point NSW 2011",90,2 hours,Sunday,12:00 PM – 4:00 PM,"Prosecco, Italian wines, spritz",Italian,Signature Italian feast with bottomless drinks; [inferred],https://fratelliparadiso.com/bottomless/,https://www.instagram.com/fratelliparadiso/,https://www.google.com/maps/?q=12+Challis+Avenue+Potts+Point+NSW+2011,2025-07-29
Nour Bottomless Brunch,Surry Hills,"3/490 Crown Street, Surry Hills NSW 2010",95,2 hours,Sunday,11:00 AM – 2:00 PM,"Aperol spritz, house wine, beer",Lebanese/Middle Eastern,Modern Lebanese menu; [inferred from promotional events],https://noursydney.com.au/bottomless-brunch/,https://www.instagram.com/nour_sydney/,https://www.google.com/maps/?q=490+Crown+St+Surry+Hills+NSW+2010,2025-07-29
Sonora Mexican Bottomless Brunch,Potts Point,"37–41 Bayswater Road, Potts Point NSW 2011",89,90 mins,Saturday & Sunday,12:00 PM – 5:00 PM,"Margaritas, wine, beer",Mexican,Tacos and share dishes; unlimited drinks; [inferred from promotional posts],https://sonora-mexican.au/bottomless-brunch,https://www.instagram.com/sonora.potts.point/,https://www.google.com/maps/?q=37+Bayswater+Rd+Potts+Point+NSW+2011,2025-07-29
La Farmacia Bottomless Brunch,Darlinghurst,"81 Stanley Street, Darlinghurst NSW 2010",89,2 hours,Saturday & Sunday,11:00 AM – 3:00 PM,"Margaritas, mixed spirits, beer, wine",Mexican,Mexican fiesta with share plates; [inferred from promotional posts],https://lafarmaciasyd.com/bottomless-brunch/,https://www.instagram.com/lafarmaciasyd/,https://www.google.com/maps/?q=81+Stanley+St+Darlinghurst+NSW+2010,2025-07-29
Chula Free‑Flowing Brunch,Potts Point,"Shop 7/33 Bayswater Road, Potts Point NSW 2011",99,2 hours,Saturday,12:00 PM – 4:00 PM,"Margaritas, sangria, beer, wine",Mexican,Vibrant Mexican brunch with two‑hour drinks; [inferred],https://chulasydney.com/bottomless-brunch/,https://www.instagram.com/chulasydney/,https://www.google.com/maps/?q=33+Bayswater+Rd+Potts+Point+NSW+2011,2025-07-29
SoCal Bottomless Fiesta,Neutral Bay,"1 Young Street, Neutral Bay NSW 2089",99,2 hours,Friday – Sunday,Friday from 3:00 PM; Saturday & Sunday from 12:00 PM,"French rosé, Prosecco, beer (margarita add‑on +$15)",Californian/Mexican,Welcome mimosa and SoCal banquet; [inferred from promotions],https://socalsydney.com.au/bottomless-fiesta/,https://www.instagram.com/socalsydney_/,https://www.google.com/maps/?q=1+Young+St+Neutral+Bay+NSW+2089,2025-07-29
Cho Cho San Bottomless Lunch,Potts Point,"73 Macleay Street, Potts Point NSW 2011",95,90 mins,Saturday & Sunday,12:00 PM – 3:00 PM,"Sake cocktails, wine, beer",Japanese,Modern Japanese bottomless lunch; [inferred from promotions],https://chochosan.com.au/bottomless-lunch/,https://www.instagram.com/chochosansydney/,https://www.google.com/maps/?q=73+Macleay+St+Potts+Point+NSW+2011,2025-07-29
170 Grammi Bottomless Lunch,Surry Hills,"428 Crown Street, Surry Hills NSW 2010",69,90 mins,Friday & Saturday,12:00 PM – 3:00 PM,"Prosecco, wine, beer",Italian (Roman pizza),Bottomless drinks with pizza menu; [inferred from promotions],https://170grammi.com.au/bottomless/,https://www.instagram.com/170grammi/,https://www.google.com/maps/?q=428+Crown+St+Surry+Hills+NSW+2010,2025-07-29
20 Chapel Bottomless Brunch,Marrickville,"20 Chapel Street, Marrickville NSW 2204",95,2 hours,Saturday,12:00 PM – 3:00 PM,"Wine, Prosecco, spritzes",Italian,Four‑course set menu with bottomless drinks; [inferred],https://20chapel.com.au/bottomless-brunch/,https://www.instagram.com/20chapel/,https://www.google.com/maps/?q=20+Chapel+St+Marrickville+NSW+2204,2025-07-29
The Waratah Spritz Package,Darlinghurst,"308–310 Liverpool Street, Darlinghurst NSW 2010",99,90 mins,Saturday & Sunday,12:00 PM & 2:00 PM seatings,Spritz cocktails,Modern Australian,Bottomless spritz package paired with a share menu; [inferred],https://thewaratah.com.au/bottomless-spritz/,https://www.instagram.com/waratah_darlo/,https://www.google.com/maps/?q=308+Liverpool+St+Darlinghurst+NSW+2010,2025-07-29
Luc San Sunday Long Lunch,Potts Point,"Penny’s Lane & Kings Cross Road, Potts Point NSW 2011",130,2 hours,Sunday,From 12:00 PM,"Mimosas, wine, cocktails (cocktail add‑on)",French/Japanese fusion,Seven‑course share menu with drinks; [inferred],https://lucsansydney.com.au/bottomless-brunch/,https://www.instagram.com/lucsansydney/,https://www.google.com/maps/?q=Kings+Cross+Road+Potts+Point+NSW+2011,2025-07-29
Ouzo Bottomless Brunch,Darlinghurst,"259 Victoria Street, Darlinghurst NSW 2010",99,2 hours,Saturday & Sunday,11:00 AM – 3:00 PM,"Palomas, Espresso Martinis, Limoncello & Aperol Spritz, beer, wine, bubbles, rosé",Mediterranean,Eight‑dish set menu; includes a shot of ouzo to finish,https://ouzobardining.com.au/bottomless-brunch/,https://www.instagram.com/ouzobar_dining/,https://www.google.com/maps/?q=259+Victoria+St+Darlinghurst+NSW+2010,2025-07-29
Flight Club Brunch Social,The Rocks,"135 Harrington Street, The Rocks NSW 2000",89,90 mins,Saturday & Sunday,12:00 PM – 2:00 PM,"Mimosas, Prosecco, wine, beer",British pub fare,Includes canapés and darts game; [inferred],https://flightclubdarts.com/au/brisbane/brunch-social,https://www.instagram.com/flightclubaus/,https://www.google.com/maps/?q=135+Harrington+St+The+Rocks+NSW+2000,2025-07-29
Loulou Boulangerie & Traiteur Sunday Brunch,Milsons Point,"61 Lavender Street, Milsons Point NSW 2061",120,2 hours,Sunday,From 11:30 AM,"Champagne, French wines, cocktails",French,Clicquot brunch with bottomless champagne; [inferred],https://loulou.sydney/clicquot-brunch/,https://www.instagram.com/loulousydney/,https://www.google.com/maps/?q=61+Lavender+Street+Milsons+Point+NSW+2061,2025-07-29
Franca Veuve Clicquot Brunch,Potts Point,"Shop 1, 81 Macleay Street, Potts Point NSW 2011",135,2 hours,Saturday,From 11:30 AM,"Veuve Clicquot Champagne, French wines",French,Refined brunch with bottomless champagne; [inferred],https://franca.com.au/clicquot-brunch/,https://www.instagram.com/franca_sydney/,https://www.google.com/maps/?q=81+Macleay+Street+Potts+Point+NSW+2011,2025-07-29
Untied Rooftop Bottomless,Barangaroo,"Level 4, 400 Barangaroo Avenue, Barangaroo NSW 2000",85,2 hours,Saturday & Sunday,11:00 AM – 3:30 PM,"Rosé, Prosecco, beer, cocktails",Modern Australian,Rooftop brunch with share menu; [inferred],https://untiedsydney.com.au/bottomless/,https://www.instagram.com/untiedsydney/,https://www.google.com/maps/?q=400+Barangaroo+Avenue+Barangaroo+NSW+2000,2025-07-29
Watson’s Bay Gazebo Bottomless Lunch,Potts Point,"2 Challis Avenue, Potts Point NSW 2011",99,2 hours,Saturday,12:00 PM – 3:00 PM,"Spritzes, wine, beer",Mediterranean,Gazebo brunch with share plates and bottomless drinks; [inferred],https://gazebopotts.com.au/bottomless-brunch/,https://www.instagram.com/gazebopottspoint/,https://www.google.com/maps/?q=2+Challis+Avenue+Potts+Point+NSW+2011,2025-07-29
