name,suburb,price,duration,days,sessions,cuisine,description,address,imageUrl,lat,lng,website,instagram,restaurantName,packageName
Cauliflower Hotel,Waterloo,89.0,90,"Saturday, Sunday",12:00,Mexican,"Weekend Mexican feast featuring unlimited margaritas, beer and wine with tacos and churros for 1.5 hours.","123 Botany Road, Waterloo NSW 2017",,-33.8988751,151.2002163,https://www.thecauliflowerhotel.com.au/,,Cauliflower Hotel,
Oxford House Pool Bar,Paddington,99.0,120,Saturday,12:00,Modern Australian,Saturday poolside bottomless brunch at OH! Pool Bar with two hours of beverages and seasonal dishes.,"21 Oxford Street, Paddington NSW 2021",,-33.8828157,151.2202451,https://oxfordhouse.com.au/pool-bar/bottomless-brunch/,https://www.instagram.com/oxfordhousesydney/,Oxford House Pool Bar,
Gitano Sydney,Double Bay,99.0,90,"Saturday, Sunday",12:00,Mexican,1.5-hour bottomless brunch with Mexican-inspired dishes and unlimited drinks at Double Bay rooftop bar.,"Shop 2/53 Cross Street, Double Bay NSW 2028",,-33.8758808,151.242289,https://www.gitano.com.au/,https://www.instagram.com/gitanosydney/,Gitano Sydney,
Royal Hotel Paddington,Paddington,95.0,120,"Saturday, Sunday",11:00,Modern Australian,"Banquet-style bottomless brunch with cocktails, craft beer and wines; two-hour sessions with optional extra hour.","237 Glenmore Road, Paddington NSW 2021",,0.0,0.0,https://royalhotel.com.au/,https://www.instagram.com/royalhotelpaddo/,Royal Hotel Paddington,
Royal Hotel Paddington Long Lunch,Paddington,95.0,120,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00,Modern Australian,"Two-hour bottomless lunch available daily with shared dishes and free-flowing beverages including Paloma, Bay Breeze and Aperol Spritz.","237 Glenmore Road, Paddington NSW 2021",,0.0,0.0,https://royalhotel.com.au/,https://www.instagram.com/royalhotelpaddo/,Royal Hotel Paddington,Long Lunch
20 Chapel Bottomless,Marrickville,95.0,105,Saturday,12:00,Mediterranean,"Bottomless lunch with set menu, Prosecco, wine and beer for 1 hour 45 minutes; optional cocktail upgrade.","20 Chapel Street, Marrickville NSW 2204",,-33.9077358,151.1655996,,,20 Chapel Bottomless,
20 Chapel Cocktail Upgrade,Marrickville,125.0,105,Saturday,12:00,Mediterranean,"Bottomless lunch with cocktails upgrade for extra $30, including margaritas and spritz for 1h45 at midday.","20 Chapel Street, Marrickville NSW 2204",,-33.9077358,151.1655996,,,20 Chapel,Cocktail Upgrade
Joji Social Saturdays,Sydney,130.0,90,Saturday,12:00,Japanese/Western,Rooftop Social Saturdays with 90 minutes of bottomless French rosé and beer alongside a set lunch.,"Level 5, 388 George Street, Sydney NSW 2000",,0.0,0.0,https://jojisydney.com/,https://www.instagram.com/jojisydney/,Joji,Social Saturdays
The Charles Bar Free Flowing Lunch,Sydney,99.0,90,Saturday,12:00,French/Australian,Saturday free-flowing lunch with 90-minute beverage package and shared three-course menu.,"66 King Street, Sydney NSW 2000",,0.0,0.0,https://thecharles.sydney/bar/,https://www.instagram.com/thecharlesbarsydney/,20 Chapel,Free Flowing Lunch
Rocker Bondi Brunch,North Bondi,85.0,90,"Wednesday, Thursday, Friday, Saturday, Sunday","11:30, 13:45, 16:00",Modern Australian,Bottomless brunch with 1.5 hours of drinks and shared menu; multiple sittings across Thursday to Sunday and Wednesday evenings.,"5/39-53 Campbell Parade, North Bondi NSW 2026",,-33.8897585,151.2813613,https://www.rockerbondi.com.au/bottomless-brunch,https://www.instagram.com/rockerbondi/,Rocker Bondi,Brunch
Rocker Bondi Birthday,North Bondi,85.0,90,"Wednesday, Thursday, Friday, Saturday, Sunday","11:30, 13:45, 16:00",Modern Australian,Birthday brunch offering unlimited cocktails and free-flowing drinks with share plates for 90 minutes.,"5/39-53 Campbell Parade, North Bondi NSW 2026",,-33.8897585,151.2813613,https://www.rockerbondi.com.au/bottomless-brunch,https://www.instagram.com/rockerbondi/,Rocker Bondi,Birthday
Tucano's Disco Brunch,Surry Hills,95.0,120,Saturday,14:30,Italian/South American,"Saturday disco drag brunch with shared menu and bottomless cocktails, wine and tap beer for two hours.","277 Goulburn Street, Surry Hills NSW 2010",,-33.8800822,151.2147491,https://www.tucanos.com.au/,https://www.instagram.com/tucanos_surryhills/,Tucano's,Disco Brunch
Poetica Saturday Lunch,North Sydney,150.0,120,Saturday,"12:00, 15:00",Modern Australian,Three-course lunch with two hours of bottomless wines and cocktails at modern bar and grill.,"1 Denison Street, North Sydney NSW 2060",,-33.8381775,151.208197,https://poetica.sydney/,https://www.instagram.com/poetica_sydney/,Poetica,Saturday Lunch
Poetica Extended Lunch,North Sydney,185.0,180,Saturday,"12:00, 15:00",Modern Australian,Extended free-flowing lunch with an extra hour added to the two-hour bottomless package for an additional fee.,"1 Denison Street, North Sydney NSW 2060",,-33.8381775,151.208197,https://poetica.sydney/,https://www.instagram.com/poetica_sydney/,Poetica,Extended Lunch
SoCal Bottomless Fiesta,Neutral Bay,99.0,120,"Friday, Saturday, Sunday","12:00, 15:00",Mexican,Two-hour fiesta featuring unlimited house wine and beer with welcome mimosa; available for dinner on Fridays and lunch/dinner on weekends.,"1 Young Street, Neutral Bay NSW 2089",,-33.8302519,151.2214804,https://socalsydney.com.au/bottomless-fiesta/,https://www.instagram.com/socalsydney/,SoCal,Bottomless Fiesta
SoCal Fiesta Margaritas,Neutral Bay,114.0,120,"Friday, Saturday, Sunday","12:00, 15:00",Mexican,Fiesta package upgraded with free-flowing margaritas alongside unlimited beer and wine for two hours.,"1 Young Street, Neutral Bay NSW 2089",,-33.8302519,151.2214804,https://socalsydney.com.au/bottomless-fiesta/,https://www.instagram.com/socalsydney/,SoCal,Fiesta Margaritas
Ouzo Bar & Dining,Darlinghurst,99.0,120,"Saturday, Sunday","11:00, 13:15, 15:30",Greek,"Greek-inspired bottomless brunch with Palomas, espresso martinis, limoncello, Aperol spritz and shared mezzes for two hours.","259 Victoria Street, Darlinghurst NSW 2010",,0.0,0.0,https://ouzobaranddining.com.au/bottomless-brunch/,https://www.instagram.com/ouzobaranddining/,Ouzo Bar & Dining,
East Village Rooftop Brunch,Darlinghurst,75.0,120,"Saturday, Sunday",12:00,Pub/Australian,"Rooftop bottomless brunch offering four-course menu with bottomless beer, wine and bubbly.","234 Palmer Street, Darlinghurst NSW 2010",,0.0,0.0,https://eastvillagehotel.com.au/bottomless-brunch/,https://www.instagram.com/eastvillage_sydney/,East Village,Rooftop Brunch
East Village Margarita Upgrade,Darlinghurst,99.0,120,"Saturday, Sunday",12:00,Pub/Australian,"Upgraded rooftop brunch with bottomless margaritas and espresso martinis added to beer, wine and bubbly.","234 Palmer Street, Darlinghurst NSW 2010",,0.0,0.0,https://eastvillagehotel.com.au/bottomless-brunch/,https://www.instagram.com/eastvillage_sydney/,East Village,Margarita Upgrade
Sonora Bottomless Fiesta,Potts Point,89.0,90,"Saturday, Sunday",12:00,Mexican,"Mexican fiesta with unlimited tacos, salsas, margaritas, beer and wine for 1.5 hours between midday and 5pm.","37 Bayswater Road, Potts Point NSW 2011",,0.0,0.0,https://sonora-mexican.com.au/bottomless-fiesta/,https://www.instagram.com/sonoramx/,Sonora,Bottomless Fiesta
Giuls Bottomless Brunch,Surry Hills,79.0,90,"Friday, Saturday, Sunday",12:00,Italian,"Italian-style brunch with 1.5 hours of Aperol spritz, espresso martini, wine and beer plus shared plates.","515 Crown Street, Surry Hills NSW 2010",,0.0,0.0,https://giuls.com.au/bottomless-brunch/,https://www.instagram.com/giulssurryhills/,Giuls,Bottomless Brunch
Green Moustache Brunch,North Sydney,79.0,120,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday","11:45, 14:00",Modern Australian,"Botanical rooftop brunch with arrival Aperol Spritz and two hours of wine, rose, sparkling and pale ale.","Level 10, 100 Miller Street, North Sydney NSW 2060",,0.0,0.0,https://greenmoustache.com.au/bottomless-brunch/,https://www.instagram.com/greenmoustachesyd/,Green Moustache,Brunch
Green Moustache Aperol,North Sydney,94.0,120,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday","11:45, 14:00",Modern Australian,"Brunch package upgraded to include unlimited Aperol Spritzes along with wine, rose and pale ale for two hours.","Level 10, 100 Miller Street, North Sydney NSW 2060",,0.0,0.0,https://greenmoustache.com.au/bottomless-brunch/,https://www.instagram.com/greenmoustachesyd/,Green Moustache,Aperol
Camelia Grove Ciao Saturdays,Alexandria,85.0,120,Saturday,12:00,Italian,Italian-inspired 'Ciao Saturdays' with 90 minutes of bottomless spritz cocktails and shared dishes; two-hour booking.,"146 Henderson Road, Alexandria NSW 2015",,0.0,0.0,https://cameliagrove.com.au/ciao-saturdays/,https://www.instagram.com/cameliagroverestaurant/,Camelia Grove,Ciao Saturdays
Woolly Bay Bottomless Lunch,Woolloomooloo,99.0,120,Saturday,"13:00, 15:00",Mediterranean,Mediterranean-inspired long lunch at Woolloomooloo wharf with two hours of beverages including spritzes and wine.,"2 Bourke Street, Woolloomooloo NSW 2011",,0.0,0.0,https://woollybayhotel.com.au/bottomless-lunch/,https://www.instagram.com/woollybayhotel/,Woolly Bay,Bottomless Lunch
Woolly Bay Twilight,Woolloomooloo,99.0,120,Saturday,"18:00, 20:00",Mediterranean,Evening bottomless sessions with Mediterranean menu and two-hour drinks including wine and cocktails.,"2 Bourke Street, Woolloomooloo NSW 2011",,0.0,0.0,https://woollybayhotel.com.au/bottomless-lunch/,https://www.instagram.com/woollybayhotel/,Woolly Bay,Twilight
Watsons Bay Brunch,Watsons Bay,99.0,120,Saturday,"12:00, 14:30",Seafood/Australian,"Harbourside bottomless brunch with shared menu, rosé, house wines and beer; optional spritz upgrade.","10 Marine Parade, Watsons Bay NSW 2030",,0.0,0.0,https://watsonsbayhotel.com.au/bottomless-brunch/,https://www.instagram.com/watsonsbayboutiquehotel/,Watsons Bay,Brunch
Watsons Bay Spritz,Watsons Bay,119.0,120,Saturday,"12:00, 14:30",Seafood/Australian,"Premium package with spritz cocktails alongside rosé, house wines and beer; two-hour harbourfront brunch.","10 Marine Parade, Watsons Bay NSW 2030",,0.0,0.0,https://watsonsbayhotel.com.au/bottomless-brunch/,https://www.instagram.com/watsonsbayboutiquehotel/,Watsons Bay,Spritz
Burdekin Spritz or Swallow,Darlinghurst,79.0,120,Saturday,13:00,Pub,"Drag-hosted bottomless brunch featuring 2 hours of sparkling, mimosas, bellinis and Aperol spritz with show and bites.","2-4 Oxford Street, Darlinghurst NSW 2010",,0.0,0.0,https://burdekin.com.au/spritz-or-swallow-bottomless-brunch/,https://www.instagram.com/burdekinhotel/,Burdekin,Spritz or Swallow
Burdekin Premium,Darlinghurst,99.0,120,Saturday,13:00,Pub,Premium drag brunch package adding house beers and margaritas to the bottomless drinks lineup.,"2-4 Oxford Street, Darlinghurst NSW 2010",,0.0,0.0,https://burdekin.com.au/spritz-or-swallow-bottomless-brunch/,https://www.instagram.com/burdekinhotel/,Burdekin,Premium
Shelbourne Bottomless Bubbles,Sydney,79.0,120,"Thursday, Friday, Saturday","12:00, 19:00",Pub/Italian,"Two-hour charcuterie, pizza and salad banquet with bottomless sparkling and house wines; available Thursday evenings, Friday evenings and Saturday lunch.","200 Sussex Street, Sydney NSW 2000",,0.0,0.0,https://www.shelbournehotel.com.au/bottomless-bubbles/,https://www.instagram.com/shelbournehotel/,Shelbourne,Bottomless Bubbles
Shelbourne Spritz & Margarita,Sydney,89.0,120,"Thursday, Friday, Saturday","12:00, 19:00",Pub/Italian,Bottomless bubbles package upgraded with Aperol spritz and margarita cocktails for two hours.,"200 Sussex Street, Sydney NSW 2000",,0.0,0.0,https://www.shelbournehotel.com.au/bottomless-bubbles/,https://www.instagram.com/shelbournehotel/,Shelbourne,Spritz & Margarita
Genzo Bottomless Lunch,North Sydney,95.0,120,Saturday,12:00,Japanese,Japanese omakase-style lunch with two hours of bottomless drinks at modern North Sydney diner.,"Shop 4/168 Walker Street, North Sydney NSW 2060",,0.0,0.0,https://genzosydney.com.au/bottomless-lunch/,https://www.instagram.com/genzosydney/,Genzo,Bottomless Lunch
RAFI Bottomless Lunch,North Sydney,120.0,120,Saturday,12:00,Modern Australian,Seasonal shared lunch with free-flowing drinks and music at RAFI Records; option to extend for extra cost.,"99 Mount Street, North Sydney NSW 2060",,0.0,0.0,https://www.rafisydney.com.au/bottomless-lunch/,https://www.instagram.com/rafi_sydney/,RAFI,Bottomless Lunch
The Greens Bottomless,North Sydney,75.0,120,"Saturday, Sunday","11:30, 13:00",Australian,Weekend bottomless lunch at North Sydney lawn bowls club with two hours of cocktails and share plates; optional spritz tower upgrade.,"50 Ridge Street, North Sydney NSW 2060",,0.0,0.0,https://www.thegreensnorthsydney.com.au/bottomless-lunch/,https://www.instagram.com/thegreensnorthsydney/,The Greens,Bottomless
The Greens Spritz,North Sydney,90.0,120,"Saturday, Sunday","11:30, 13:00",Australian,"Bottomless lunch upgraded with shared spritz towers along with standard beer, wine and cocktails for two hours.","50 Ridge Street, North Sydney NSW 2060",,0.0,0.0,https://www.thegreensnorthsydney.com.au/bottomless-lunch/,https://www.instagram.com/thegreensnorthsydney/,The Greens,Spritz
Delta Rue Bottomless,Sydney,77.0,90,Saturday,12:00,Vietnamese/French,Vietnamese-French inspired bottomless lunch with 90 minutes of free-flowing house beverages and a diverse tasting menu.,"Level 5 61-101 Phillip Street, Sydney NSW 2000",,0.0,0.0,https://www.deltarue.com.au/bottomless-lunch/,https://www.instagram.com/deltaruesydney/,Delta Rue,Bottomless
Rekodo Jukebox Bottomless,Barangaroo,95.0,120,"Saturday, Sunday",12:00,Japanese,"Weekend Japanese-inspired brunch with two hours of free-flowing drinks and DJ-curated music at Rekodo, Barangaroo House.","35 Barangaroo Ave, Barangaroo NSW 2000",,0.0,0.0,https://www.barangaroohouse.com.au/jukebox-bottomless/,https://www.instagram.com/rekodo.syd/,Rekodo,Jukebox Bottomless
Rekodo Cocktail Upgrade,Barangaroo,130.0,120,"Saturday, Sunday",12:00,Japanese,Jukebox bottomless brunch upgraded with premium cocktails for two hours.,"35 Barangaroo Ave, Barangaroo NSW 2000",,0.0,0.0,https://www.barangaroohouse.com.au/jukebox-bottomless/,https://www.instagram.com/rekodo.syd/,Rekodo,Cocktail Upgrade
Mille Vini Limoncello Spritz Lunch,Surry Hills,99.0,90,"Saturday, Sunday","13:00, 15:15",Italian,"Italian brunch, 90-minute session. Five‑course set menu; unlimited drinks during session. Includes: Limoncello spritz, mimosas, selected wine","397 Crown Street, Surry Hills NSW 2010",,0.0,0.0,https://millevini.com.au/bottomless-lunch/,https://www.instagram.com/millevini/,Mille Vini,Limoncello Spritz Lunch
Rosie Campbell’s Bottomless Daiquiri L,Surry Hills,99.0,90,"Friday, Saturday, Sunday","12:00, 15:15",Jamaican/Caribbean,"Jamaican/Caribbean brunch, 90-minute session. Five‑course island banquet; DJ on Saturday; surcharges apply. Includes: Daiquiris (three flavours), Piña Coladas, sparkling wine, tap ","320 Crown Street, Surry Hills NSW 2010",,0.0,0.0,https://rosiecampbells.com/bottomless-daiquiri-lunch/,https://www.instagram.com/rosiecampbells/,Rosie Campbell’s,Bottomless Daiquiri L
Forrester’s Bottomless Lunch,Surry Hills,89.0,120,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday","12:00, 15:00",Pub/Modern Australian,"Pub/Modern Australian brunch, 120-minute session. Hosted in Phylli’s garden; minimum four guests; includes shared feast. Includes: House wines, beers, cider (spritz upgrade +$10)","336 Riley Street, Surry Hills NSW 2010",,0.0,0.0,https://forresters.com.au/bottomless-lunch/,https://www.instagram.com/forresters_surryhills/,Forrester’s,Bottomless Lunch
The Toxteth Hotel Bottomless Brunch,Glebe,85.0,120,Sunday,"12:00, 15:00",Pub/Modern Australian,"Pub/Modern Australian brunch, 120-minute session. Includes share‑style brunch menu; times may vary [estimated]. Includes: Mimosas, Bloody Marys, Bay Breeze, 4 Pines Pacific Ale, sp","345 Glebe Point Road, Glebe NSW 2037",,0.0,0.0,https://toxtethhotel.com.au/bottomless-brunch/,https://www.instagram.com/toxtethhotel/,The Toxteth Hotel,Bottomless Brunch
Bopp & Tone Soul Saturdays,Sydney CBD,130.0,120,Saturday,"12:00, 14:45",Modern Australian,"Modern Australian brunch, 120-minute session. Shared banquet menu; live soul music; min. four guests. Includes: Bubbles, mimosas, house wines, beers (upgrades: Taittinger package)","60 Carrington Street, Wynyard Park, Sydney NSW 2000",,0.0,0.0,https://boppandtone.com.au/whats-on/soul-saturdays/,https://www.instagram.com/boppandtone/,Bopp & Tone,Soul Saturdays
Botanic House Weekend Brunch,Sydney CBD (Royal Bo,45.0,120,"Saturday, Sunday",09:00,Asian‑Australian,"Asian‑Australian brunch, 120-minute session. Weekend brunch includes chef’s selection dishes; bottomless add‑ons optional; served 9am–11am. Includes: Base brunch $45pp; add-ons: Pr","Mrs Macquaries Road, Royal Botanic Garden, Sydney NSW 2000",,0.0,0.0,https://botanichouse.com.au/bottomless-brunch/,https://www.instagram.com/botanichouse/,Botanic House,Weekend Brunch
Babylon Rooftop Limoncello Brunch,Sydney CBD,79.0,120,"Saturday, Sunday","12:00, 13:00",Middle Eastern,"Middle Eastern brunch, 120-minute session. Shared meze menu; seatings on the rooftop terrace. Includes: Unlimited limoncello jugs","Level 7, 188 Pitt Street, Sydney NSW 2000",,0.0,0.0,https://babylonrooftop.com.au/bottomless-brunch/,https://www.instagram.com/babylonrooftop/,Babylon Rooftop,Limoncello Brunch
The Rook Drag Brunch,Sydney CBD,79.0,120,Saturday,14:00,Modern Australian,"Modern Australian brunch, 120-minute session. Drag brunch with six-course bite-sized menu and DIY mimosa bar. Includes: Mimosas (DIY bar)","Level 7, 56–58 York Street, Sydney NSW 2000",,0.0,0.0,https://therook.com.au/oopsie-daisy/,https://www.instagram.com/therooksyd/,The Rook,Drag Brunch
Woollahra Hotel Brunch on Queen Street,Woollahra,89.0,120,"Saturday, Sunday","12:00, 14:00",Pub/Modern Australian,"Pub/Modern Australian brunch, 120-minute session. Two‑hour banquet and drinks; min. four guests; optional add‑ons. Includes: Mimosas, Bellinis, wines, beers","116 Queen Street, Woollahra NSW 2025",,0.0,0.0,https://woollahrahotel.com.au/bottomless-brunch/,https://www.instagram.com/woollahrahotel/,Woollahra Hotel,Brunch on Queen Street
Coogee Wine Room Bottomless Lunch,Coogee,95.0,120,"Saturday, Sunday","12:00, 13:00",Mediterranean,"Mediterranean brunch, 120-minute session. Three‑course share menu plus drinks; cocktail upgrade option. Includes: Wine, beer, cocktail upgrade","222 Coogee Bay Road, Coogee NSW 2034",,0.0,0.0,https://coogeewineroom.com.au/bottomless-lunch/,https://www.instagram.com/coogeewineroom/,Coogee Wine Room,Bottomless Lunch
JoJo’s Greek Bottomless Brunch,Sydney CBD,75.0,90,"Saturday, Sunday",12:00,Greek,"Greek brunch, 90-minute session. Mediterranean feast with free‑flowing drinks; [inferred]. Includes: Wine, beer, Aperol spritz","189 Pitt Street, Sydney NSW 2000",,0.0,0.0,https://jojossydney.com/bottomless-brunch/,https://www.instagram.com/jojossydney/,JoJo’s Greek,Bottomless Brunch
Poetica Bar and Grill Free‑Flowing,North Sydney,85.0,120,Saturday,12:00,European/Mediterranean,"European/Mediterranean brunch, 120-minute session. Free‑flowing lunch menu; price fixed. Includes: House wines, beers","1 Pacific Highway, North Sydney NSW 2060",,0.0,0.0,https://poetica.com.au/free-flowing-lunch/,https://www.instagram.com/poeticabarandgrill/,Poetica Bar and Grill,Free‑Flowing
Nico Brasserie Bottomless Brunch,Cammeray,75.0,90,"Saturday, Sunday","11:00, 13:30",European,"European brunch, 90-minute session. Modern brasserie brunch with 90-minute drinks package; [inferred]. Includes: Mimosas, wine, beer","Shop 3/450 Miller Street, Cammeray NSW 2062",,0.0,0.0,https://nicobrasserie.com/bottomless-brunch/,https://www.instagram.com/nicobrasserie/,Nico Brasserie,Bottomless Brunch
Nour Saturday & Sunday Brunch,Surry Hills,79.0,120,"Saturday, Sunday","11:00, 14:30",Middle Eastern,"Middle Eastern brunch, 120-minute session. Set menu with Levantine flavours; [inferred from promotional events]. Includes: Aperol spritz, house wine, beer","3/490 Crown Street, Surry Hills NSW 2010",,0.0,0.0,https://noursydney.com.au/bottomless-brunch/,https://www.instagram.com/nour_sydney/,Nour,Saturday & Sunday Brunch
La Farmacia Bottomless Brunch,Darlinghurst,89.0,120,"Saturday, Sunday","11:00, 15:00",Mexican,"Mexican brunch, 120-minute session. Mexican fiesta with share plates; [inferred from promotional posts]. Includes: Margaritas, mixed spirits, beer, wine","81 Stanley Street, Darlinghurst NSW 2010",,0.0,0.0,https://lafarmaciasyd.com/bottomless-brunch/,https://www.instagram.com/lafarmaciasyd/,La Farmacia,Bottomless Brunch
Chula Free‑Flowing Brunch,Potts Point,99.0,120,Saturday,"12:00, 16:00",Mexican,"Mexican brunch, 120-minute session. Vibrant Mexican brunch with two‑hour drinks; [inferred]. Includes: Margaritas, sangria, beer, wine","Shop 7/33 Bayswater Road, Potts Point NSW 2011",,0.0,0.0,https://chulasydney.com/bottomless-brunch/,https://www.instagram.com/chulasydney/,Chula,Free‑Flowing Brunch
Cho Cho San Bottomless Lunch,Potts Point,95.0,90,"Saturday, Sunday","12:00, 15:00",Japanese,"Japanese brunch, 90-minute session. Modern Japanese bottomless lunch; [inferred from promotions]. Includes: Sake cocktails, wine, beer","73 Macleay Street, Potts Point NSW 2011",,0.0,0.0,https://chochosan.com.au/bottomless-lunch/,https://www.instagram.com/chochosansydney/,Cho Cho San,Bottomless Lunch
170 Grammi Bottomless Lunch,Surry Hills,69.0,90,"Friday, Saturday","12:00, 15:00",Italian (Roman pizza),"Italian (Roman pizza) brunch, 90-minute session. Bottomless drinks with pizza menu; [inferred from promotions]. Includes: Prosecco, wine, beer","428 Crown Street, Surry Hills NSW 2010",,0.0,0.0,https://170grammi.com.au/bottomless/,https://www.instagram.com/170grammi/,170 Grammi,Bottomless Lunch
The Waratah Spritz Package,Darlinghurst,99.0,90,"Saturday, Sunday","12:00, 14:00",Modern Australian,"Modern Australian brunch, 90-minute session. Bottomless spritz package paired with a share menu; [inferred]. Includes: Spritz cocktails","308–310 Liverpool Street, Darlinghurst NSW 2010",,0.0,0.0,https://thewaratah.com.au/bottomless-spritz/,https://www.instagram.com/waratah_darlo/,The Waratah,Spritz Package
Luc San Sunday Long Lunch,Potts Point,130.0,120,Sunday,12:00,French/Japanese fusion,"French/Japanese fusion brunch, 120-minute session. Seven‑course share menu with drinks; [inferred]. Includes: Mimosas, wine, cocktails (cocktail add‑on)","Penny’s Lane & Kings Cross Road, Potts Point NSW 2011",,0.0,0.0,https://lucsansydney.com.au/bottomless-brunch/,https://www.instagram.com/lucsansydney/,Luc San,Sunday Long Lunch
Flight Club Brunch Social,The Rocks,89.0,90,"Saturday, Sunday","12:00, 14:00",British pub fare,"British pub fare brunch, 90-minute session. Includes canapés and darts game; [inferred]. Includes: Mimosas, Prosecco, wine, beer","135 Harrington Street, The Rocks NSW 2000",,0.0,0.0,https://flightclubdarts.com/au/brisbane/brunch-social,https://www.instagram.com/flightclubaus/,Flight Club,Brunch Social
Loulou Boulangerie & Traiteur Sunday B,Milsons Point,120.0,120,Sunday,11:30,French,"French brunch, 120-minute session. Clicquot brunch with bottomless champagne; [inferred]. Includes: Champagne, French wines, cocktails","61 Lavender Street, Milsons Point NSW 2061",,0.0,0.0,https://loulou.sydney/clicquot-brunch/,https://www.instagram.com/loulousydney/,Loulou Boulangerie & Traiteur,Sunday Brunch
